full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
rizethereum/claude-code-requirements-builder,1727,1727,171,2,2,-1,https://github.com/rizethereum/claude-code-requirements-builder
centminmod/my-claude-code-setup,1637,1637,161,5,5,2,https://github.com/centminmod/my-claude-code-setup
ComposioHQ/awesome-claude-skills,18252,18252,1860,523,523,30,https://github.com/ComposioHQ/awesome-claude-skills
andrepimenta/claude-code-chat,967,967,141,-1,-1,0,https://github.com/andrepimenta/claude-code-chat
winfunc/opcode,19912,19912,1528,21,21,-4,https://github.com/winfunc/opcode
EnzeD/vibe-coding,3645,3645,1116,18,18,6,https://github.com/EnzeD/vibe-coding
peterkrueck/Claude-Code-Development-Kit,1271,1271,145,1,1,1,https://github.com/peterkrueck/Claude-Code-Development-Kit
darcyegb/ClaudeCodeAgents,458,458,41,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
steipete/claude-code-mcp,995,995,114,2,2,1,https://github.com/steipete/claude-code-mcp
Njengah/claude-code-cheat-sheet,1147,1147,141,3,3,1,https://github.com/Njengah/claude-code-cheat-sheet
revfactory/claude-code-mastering,734,734,117,0,0,0,https://github.com/revfactory/claude-code-mastering
wasabeef/claude-code-cookbook,945,945,104,3,3,1,https://github.com/wasabeef/claude-code-cookbook
EveryInc/compound-engineering-plugin,4579,4579,386,88,88,7,https://github.com/EveryInc/compound-engineering-plugin
disler/claude-code-hooks-multi-agent-observability,894,894,273,1,1,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
JessyTsui/Claude-Code-Remote,946,946,103,2,2,0,https://github.com/JessyTsui/Claude-Code-Remote
0xfurai/claude-code-subagents,629,629,123,5,5,0,https://github.com/0xfurai/claude-code-subagents
zed-industries/claude-code-acp,727,727,110,5,5,3,https://github.com/zed-industries/claude-code-acp
opactorai/Claudable,3594,3594,554,13,13,1,https://github.com/opactorai/Claudable
upstash/context7,41692,41692,2035,136,136,4,https://github.com/upstash/context7
jarrodwatts/claude-code-config,741,741,93,15,15,4,https://github.com/jarrodwatts/claude-code-config
slopus/happy,7055,7055,525,78,78,7,https://github.com/slopus/happy
anthropics/claude-agent-sdk-python,4075,4075,540,26,26,3,https://github.com/anthropics/claude-agent-sdk-python
kn1026/cc,698,698,265,1,1,0,https://github.com/kn1026/cc
superdesigndev/superdesign,5710,5710,657,13,13,1,https://github.com/superdesigndev/superdesign
catlog22/Claude-Code-Workflow,924,924,77,15,15,3,https://github.com/catlog22/Claude-Code-Workflow
pchalasani/claude-code-tools,1027,1027,75,12,12,0,https://github.com/pchalasani/claude-code-tools
lyconear/Claude-Code,4,4,143,0,0,0,https://github.com/lyconear/Claude-Code
alirezarezvani/claude-code-tresor,423,423,107,0,0,1,https://github.com/alirezarezvani/claude-code-tresor
ericbuess/claude-code-docs,544,544,89,2,2,0,https://github.com/ericbuess/claude-code-docs
severity1/claude-code-prompt-improver,1045,1045,95,4,4,0,https://github.com/severity1/claude-code-prompt-improver
simonw/claude-code-transcripts,748,748,76,11,11,1,https://github.com/simonw/claude-code-transcripts
anthropics/claude-agent-sdk-demos,1113,1113,176,17,17,0,https://github.com/anthropics/claude-agent-sdk-demos
numman-ali/openskills,4690,4690,346,138,138,8,https://github.com/numman-ali/openskills
greggh/claude-code.nvim,1709,1709,53,7,7,0,https://github.com/greggh/claude-code.nvim
zsio/claude-code-hub,144,144,148,-1,-1,1,https://github.com/zsio/claude-code-hub
Matt-Dionis/claude-code-configs,595,595,79,3,3,0,https://github.com/Matt-Dionis/claude-code-configs
d-kimuson/claude-code-viewer,769,769,70,1,1,0,https://github.com/d-kimuson/claude-code-viewer
jeremylongshore/claude-code-plugins-plus-skills,953,953,114,9,9,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
manzaltu/claude-code-ide.el,1245,1245,70,2,2,0,https://github.com/manzaltu/claude-code-ide.el
coleam00/context-engineering-intro,12171,12171,2573,14,14,3,https://github.com/coleam00/context-engineering-intro
nextlevelbuilder/ui-ux-pro-max-skill,12007,12007,1271,832,832,74,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
anthropics/claude-plugins-official,3236,3236,374,295,295,46,https://github.com/anthropics/claude-plugins-official
BloopAI/vibe-kanban,15339,15339,1425,500,500,40,https://github.com/BloopAI/vibe-kanban
anomalyco/opencode,64736,64736,5565,3022,3022,254,https://github.com/anomalyco/opencode
kepano/obsidian-skills,5747,5747,256,393,393,29,https://github.com/kepano/obsidian-skills
MadAppGang/claude-code,204,204,19,0,0,0,https://github.com/MadAppGang/claude-code
gurusup/claude-code-demo,71,71,154,0,0,0,https://github.com/gurusup/claude-code-demo
oraios/serena,18541,18541,1265,61,61,7,https://github.com/oraios/serena
UfoMiao/zcf,5173,5173,362,21,21,2,https://github.com/UfoMiao/zcf
bfly123/claude_code_bridge,611,611,62,26,26,3,https://github.com/bfly123/claude_code_bridge
zhukunpenglinyutong/idea-claude-code-gui,654,654,77,34,34,5,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
breaking-brake/cc-wf-studio,2531,2531,278,66,66,6,https://github.com/breaking-brake/cc-wf-studio
hesreallyhim/a-list-of-claude-code-agents,1122,1122,109,0,0,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
stretchcloud/claude-code-unified-agents,722,722,70,0,0,0,https://github.com/stretchcloud/claude-code-unified-agents
Dicklesworthstone/claude_code_agent_farm,621,621,74,1,1,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
cexll/myclaude,1750,1750,218,24,24,0,https://github.com/cexll/myclaude
IncomeStreamSurfer/claude-code-agents-wizard-v2,307,307,157,0,0,0,https://github.com/IncomeStreamSurfer/claude-code-agents-wizard-v2
daaain/claude-code-log,626,626,54,5,5,0,https://github.com/daaain/claude-code-log
glidea/claude-worker-proxy,241,241,121,2,2,1,https://github.com/glidea/claude-worker-proxy
ericc-ch/copilot-api,1985,1985,339,13,13,1,https://github.com/ericc-ch/copilot-api
humanlayer/humanlayer,8579,8579,718,0,0,0,https://github.com/humanlayer/humanlayer
stevemolitor/claude-code.el,582,582,51,5,5,0,https://github.com/stevemolitor/claude-code.el
carlvellotti/claude-code-pm-course,327,327,86,13,13,0,https://github.com/carlvellotti/claude-code-pm-course
